Rank,Player,Country,Stat,Stat Category,Year
15,Yuki Yamada,JPN,50%,Checkout Pcnt,2020
16,Craig Galliano,GIB,50%,Checkout Pcnt,2020
17,Lourence Ilagan,PHI,50%,Checkout Pcnt,2020
18,Philippines,,50%,Checkout Pcnt,2020
19,Portugal,,45.45%,Checkout Pcnt,2020
20,New Zealand,,45.45%,Checkout Pcnt,2020
21,Gabriel Clemens,GER,45.45%,Checkout Pcnt,2020
22,Jeff Smith,CAN,45%,Checkout Pcnt,2020
23,Karel Sedláček,CZE,44.44%,Checkout Pcnt,2020
24,Haupai Puha,NZL,42.86%,Checkout Pcnt,2020
25,Daniele Petri,ITA,42.86%,Checkout Pcnt,2020
26,Kim Huybrechts,BEL,42.5%,Checkout Pcnt,2020
27,Gerwyn Price,WAL,40.98%,Checkout Pcnt,2020
28,Rowby-John Rodriguez,AUT,40.74%,Checkout Pcnt,2020
29,Mindaugas Barauskas,LTH,40%,Checkout Pcnt,2020
30,United States,,40%,Checkout Pcnt,2020
31,Netherlands,,38.89%,Checkout Pcnt,2020
32,Danny Noppert,NED,38.71%,Checkout Pcnt,2020
33,Matt Campbell,CAN,38.46%,Checkout Pcnt,2020
34,Austria,,38.1%,Checkout Pcnt,2020
35,Michael Smith,ENG,37.93%,Checkout Pcnt,2020
36,Leung Kai Fan,HKG,37.5%,Checkout Pcnt,2020
37,Belgium,,37.5%,Checkout Pcnt,2020
38,Germany,,37.5%,Checkout Pcnt,2020
39,Gibraltar,,37.5%,Checkout Pcnt,2020
40,Michael van Gerwen,NED,37.04%,Checkout Pcnt,2020
41,Jonny Clayton,WAL,37.04%,Checkout Pcnt,2020
42,Mensur Suljović,AUT,36.36%,Checkout Pcnt,2020
43,Italy,,36.36%,Checkout Pcnt,2020
44,Wales,,36.36%,Checkout Pcnt,2020
45,Lithuania,,35.71%,Checkout Pcnt,2020
46,Simon Whitlock,AUS,35.48%,Checkout Pcnt,2020
47,Justin Hewitt,GIB,33.33%,Checkout Pcnt,2020
48,Ireland,,33.33%,Checkout Pcnt,2020
49,Canada,,33.33%,Checkout Pcnt,2020
50,José Marquês,POR,33.33%,Checkout Pcnt,2020
1,Karel Sedláček,CZE,100%,Checkout Pcnt,2021
2,Daniel Larsson,SWE,100%,Checkout Pcnt,2021
3,Adam Gawlas,CZE,100%,Checkout Pcnt,2021
4,Lourence Ilagan,PHI,100%,Checkout Pcnt,2021
5,Czechia,,100%,Checkout Pcnt,2021
6,Philippines,,100%,Checkout Pcnt,2021
7,Sean Negrette,GIB,66.67%,Checkout Pcnt,2021
8,Darius Labanauskas,LTH,57.89%,Checkout Pcnt,2021
9,Kim Huybrechts,BEL,55.56%,Checkout Pcnt,2021
10,Poland,,55.56%,Checkout Pcnt,2021
