Date, Tournament, Rank, Winner_Name, Average
09/24/2006,UK Open Qualifier 1,PT,Phil Taylor,
10/05/2006,UK Open Qualifier 1,PT,Raymond van Barneveld,
10/14/2006,Open Hotel Zwartewater,1,Terry Jenkins,
10/21/2006,Players Championship,PT,Phil Taylor,
10/29/2006,World Grand Prix,MJ,Phil Taylor,90.61
10/29/2006,World Grand Prix All Ireland Qualifiers,Q,,
10/29/2006,World Grand Prix PDPA Qualifiers,Q,,
11/04/2006,Players Championship,PT,Adrian Lewis,
11/05/2006,UK Open Qualifier 1,PT,Raymond van Barneveld,
11/11/2006,Players Championship,PT,Colin Lloyd,
11/12/2006,Oceanic Masters,U,Mitchell Clegg,
11/12/2006,Players Championship,PT,Barrie Bates,
11/17/2006,Vauxhall Autumn Pro,1,Mick McGowan,
11/18/2006,Vauxhall Autumn Open,2,James Wade,
11/26/2006,Sunparks Masters,2,Jan van der Rassel,
01/01/2007,World Championship,WC,Raymond van Barneveld,97.28
01/01/2007,World Championship Tour Card Holder Qualifier,Q,,
01/06/2007,UK Open Qualifier 1,PT,Raymond van Barneveld,
01/20/2007,Players Championship,PT,Raymond van Barneveld,
01/21/2007,Players Championship,PT,Andy Hamilton,
02/11/2007,UK Open Qualifier 1,PT,Dennis Priestley,
02/18/2007,Masters Of Darts,U,Raymond van Barneveld,101.44
02/24/2007,West Tyrone Open,U,Lionel Sams,
03/04/2007,UK Open Qualifier 1,PT,Phil Taylor,
03/18/2007,UK Open Qualifier 1,PT,James Wade,
03/24/2007,Players Championship,PT,Raymond van Barneveld,
04/01/2007,UK Open Qualifier 1,PT,Andy Hamilton,
04/14/2007,Antwerp Open,U,Terry Jenkins,
04/15/2007,Players Championship,PT,Terry Jenkins,
04/21/2007,IDL PDPA Qualifiers,Q,,
04/28/2007,Open Holland,U,Michael van Gerwen,
04/29/2007,Players Championship,PT,Peter Manley,
05/13/2007,International Darts League,MJ,Gary Anderson,100.63
05/19/2007,World Darts Challenge,U,,
05/20/2007,PDC US Open,Premier Open,Phil Taylor,102.88
05/28/2007,Premier League,U,Phil Taylor,100.67
06/03/2007,Players Championship,PT,Roland Scholten,
06/10/2007,UK Open,MJ,Raymond van Barneveld,97.96
06/16/2007,Players Championship,PT,Terry Jenkins,
06/17/2007,Players Championship,PT,John Part,
06/27/2007,Las Vegas Desert Classic Qualifier,Q,,
06/27/2007,Las Vegas Desert Classic Qualifier,Q,,
07/01/2007,Players Championship,PT,Raymond van Barneveld,
07/08/2007,Las Vegas Desert Classic,MJ,Raymond van Barneveld,101.24
07/20/2007,WDT PDPA Qualifiers,Q,,
07/21/2007,Players Championship,PT,Phil Taylor,
07/28/2007,World Matchplay,MJ,James Wade,92.76
08/26/2007,Players Championship,PT,Wayne Mardle,
09/09/2007,Ireland Open Autumn Classic,PT,Denis Ovens,
09/09/2007,World Darts Trophy,MJ,Gary Anderson,97.31
09/16/2007,Windy City Open,PT,Ronnie Baxter,
09/16/2007,World Grand Prix All Ireland Qualifiers,Q,,
09/22/2007,Players Championship,PT,Raymond van Barneveld,
09/23/2007,Australian Open,U,Glen Power,
09/23/2007,UK Open Qualifier 1,PT,James Wade,
09/30/2007,Emperors Palace South African Masters,U,Phil Taylor,
09/30/2007,Grand Slam Qualifier,Q,,
10/06/2007,Players Championship,PT,Phil Taylor,
10/07/2007,UK Open Qualifier 1,PT,Raymond van Barneveld,
10/14/2007,World Grand Prix,MJ,James Wade,85.16
10/20/2007,Players Championship,PT,Andy Smith,
10/21/2007,UK Open Qualifier 1,PT,James Wade,
10/27/2007,Players Championship,PT,Wayne Mardle,
10/28/2007,Oceanic Masters,U,Warren Parry,90.31
11/03/2007,Gleneagle Irish Masters,U,Mark Walsh,
11/04/2007,Players Championship,PT,Jelle Klaasen,
11/10/2007,Players Championship,PT,Phil Taylor,
11/11/2007,Players Championship,PT,Phil Taylor,
11/25/2007,Grand Slam,U,Phil Taylor,99.25
12/02/2007,PDC German Darts Championship,Premier Open,Phil Taylor,
01/01/2008,World Championship,WC,John Part,94.16
01/01/2008,World Championship Tour Card Holder Qualifier,Q,,
01/13/2008,UK Open Qualifier 1,PT,Colin Osborne,
01/19/2008,Players Championship,PT,John Part,
01/20/2008,Players Championship,PT,James Wade,
02/10/2008,UK Open Qualifier 1,PT,Colin Lloyd,
03/01/2008,Players Championship,PT,Phil Taylor,
03/02/2008,UK Open Qualifier 1,PT,Colin Lloyd,
03/15/2008,Players Championship,PT,Alan Tabern,
03/16/2008,UK Open Qualifier 1,PT,Phil Taylor,
03/22/2008,Players Championship,PT,Phil Taylor,112.14
03/23/2008,Players Championship,PT,Phil Taylor,110.02
03/29/2008,Players Championship,PT,Phil Taylor,
03/30/2008,UK Open Qualifier 1,PT,Phil Taylor,
04/12/2008,Players Championship,PT,Phil Taylor,
04/16/2008,London Masters,U,Phil Taylor,
04/19/2008,Players Championship,PT,Mervyn King,
04/26/2008,Players Championship,PT,Raymond van Barneveld,
05/11/2008,UK Open Qualifier 1,Q,,
05/17/2008,North American Darts Championship,U,Darin Young,83.55
05/18/2008,PDC US Open,Premier Open,Phil Taylor,103.94
05/26/2008,Premier League,U,Phil Taylor,103.57
06/08/2008,UK Open,MJ,James Wade,95.92
06/14/2008,Players Championship,PT,Phil Taylor,
06/15/2008,Players Championship,PT,Dennis Priestley,
06/29/2008,Players Championship,PT,Phil Taylor,
07/06/2008,Las Vegas Desert Classic,MJ,Phil Taylor,104.06
07/06/2008,Las Vegas Desert Classic Qualifier,Q,,
07/06/2008,Las Vegas Desert Classic Qualifier,Q,,
07/19/2008,Players Championship,PT,Phil Taylor,
07/26/2008,World Matchplay,MJ,Phil Taylor,104.81
08/10/2008,Players Championship,PT,Robert Thornton,
08/17/2008,Players Championship,PT,Dennis Priestley,
08/24/2008,Players Championship,PT,Alan Tabern,
08/30/2008,Players Championship,PT,Phil Taylor,
08/31/2008,Players Championship,PT,Phil Taylor,
09/06/2008,Ireland Open Autumn Classic,PT,Felix McBrearty,
09/14/2008,Windy City Open,PT,Colin Lloyd,
09/20/2008,Players Championship,PT,Ronnie Baxter,
09/21/2008,Players Championship,PT,Alan Tabern,
09/28/2008,Emperors Palace South African Masters,U,Phil Taylor,
10/04/2008,Players Championship,PT,Phil Taylor,
10/05/2008,Players Championship,PT,Dennis Priestley,
10/12/2008,World Grand Prix,MJ,Phil Taylor,98.57
10/17/2008,Grand Slam Qualifier,Q,Wes Newton,91.36
10/18/2008,Players Championship,PT,Alex Roy,
10/19/2008,Players Championship,PT,James Wade,
10/23/2008,Championship of Darts,U,Phil Taylor,
10/25/2008,Players Championship,PT,Colin Osborne,
10/26/2008,European Championship Qualifier,Q,,
10/26/2008,Oceanic Masters,U,Russell Stewart,
11/01/2008,Gleneagle Irish Masters,U,Michael van Gerwen,
11/02/2008,European Championship,MJ,Phil Taylor,108.2
11/02/2008,Players Championship,PT,Terry Jenkins,
11/08/2008,Players Championship,PT,Mervyn King,
11/09/2008,Players Championship,PT,James Wade,94.14
11/14/2008,Pro Celebrity Challenge,U,,
11/23/2008,Grand Slam,U,Phil Taylor,104.07
11/30/2008,PDC German Darts Championship,Premier Open,Co Stompé,107.28
12/12/2008,New Kids On The Oche,U,Arron Monk,
01/04/2009,World Championship,WC,Phil Taylor,104.08
01/04/2009,World Championship Tour Card Holder Qualifier,Q,,
01/10/2009,Players Championship,PT,Terry Jenkins,
01/11/2009,UK Open Qualifier 1,PT,Colin Lloyd,
01/17/2009,Players Championship,PT,Phil Taylor,
01/18/2009,Players Championship,PT,Phil Taylor,
02/01/2009,Players Championship Finals,MJ,Phil Taylor,102.21
02/28/2009,Players Championship,PT,Phil Taylor,
03/01/2009,Players Championship,PT,Phil Taylor,
03/07/2009,Players Championship,PT,Robert Thornton,
03/08/2009,UK Open Qualifier 1,PT,Robert Thornton,
03/14/2009,Players Championship,PT,Dennis Priestley,
03/15/2009,UK Open Qualifier 1,PT,James Wade,
03/22/2009,Players Championship,PT,Phil Taylor,
03/22/2009,UK Open Qualifier 1,PT,Phil Taylor,
