Date, Tournament, Rank, Winner_Name, Average
04/02/2023,White Mountain Shootout Womens,-,Cali West,66.36
04/08/2023,MODUS Super Series #3 Week 9,-,Lukas Wenig,89.84
04/10/2023,European Tour 4,ET,Michael Smith,95.95
04/14/2023,Asian Tour 7,-,Rosendo Lubaton,86.22
04/14/2023,European Tour Nordic and Baltic Qualifier 7,Q,Dennis Nilsson,83.99
04/14/2023,European Tour Nordic and Baltic Qualifier 8,Q,Jani Laurila,79.42
04/14/2023,World Seniors Darts Tour Pre-qualifier Event,-,Robert Rickwood,94.48
04/15/2023,Asian Tour 8,-,Ryan Khristoffer Condat,83.73
04/15/2023,European Tour Eastern Europe Qualifier 5,Q,Vitezslav Sedlak,90.22
04/15/2023,European Tour Eastern Europe Qualifier 6,Q,Roman Benecky,83.16
04/15/2023,European Tour Eastern Europe Qualifier 7,Q,Dalibor Smolik,86.44
04/15/2023,European Tour Nordic and Baltic Qualifier 9,Q,Marko Kantele,90.52
04/15/2023,MODUS Super Series #3 Week 10,-,Luke Littler,90.66
04/15/2023,Nordic Baltic Tour 5,-,Vladimir Andersen,86.18
04/15/2023,Players Championship 9,PT,Krzysztof Ratajski,96.35
04/15/2023,SDC Pro Tour 17,-,Stefan Bellmont,85.86
04/15/2023,World Seniors Darts Tour Masters Qualifier 1,-,Dennis Harbour,87.55
04/16/2023,Asian Tour 9,-,Reynaldo Rivera,89.57
04/16/2023,Croatian Masters Mens,-,Andy Baetens,93.09
04/16/2023,Croatian Masters Womens,-,Aletta Wajer,65.49
04/16/2023,Croatian Open Mens,-,Andy Baetens,94.27
04/16/2023,Croatian Open Womens,-,Aletta Wajer,59.5
04/16/2023,Estonian Open Boys,-,Karlis Zeidaks,60.04
04/16/2023,Estonian Open Girls,-,Sophie McKinlay,58.1
04/16/2023,Estonian Open Mens,-,Valters Melderis,77.7
04/16/2023,Estonian Open Womens,-,Kirsi Viinikainen,64.82
04/16/2023,European Tour Eastern Europe Qualifier 8,Q,Patrick Kovacs,80.5
04/16/2023,European Tour Eastern Europe Qualifier 9,Q,Roman Benecky,83.06
04/16/2023,Gibraltar Open Men,-,Daniel Zapata,76.35
04/16/2023,Gibraltar Open Women,-,Christine Redhead,51.96
04/16/2023,Gibraltar Open Youth,-,Kilian Perales,67.24
04/16/2023,Nordic Baltic Tour 6,-,Marko Kantele,85.54
04/16/2023,Players Championship 10,PT,Dirk van Duijvenbode,97.04
04/16/2023,SDC Pro Tour 18,-,Stefan Bellmont,86.75
04/16/2023,Tallinn Open Boys,-,Lukas Jensen,59.08
04/16/2023,Tallinn Open Girls,-,Sophie McKinlay,56.43
04/16/2023,Tallinn Open Men,-,John Scott,75.32
04/16/2023,Tallinn Open Women,-,Kirsi Viinikainen,66.59
04/16/2023,World Seniors Darts Tour Masters Qualifier 2,-,Mark McGeeney,86.2
04/17/2023,European Tour Card Holder Qualifier 9,Q,,
04/17/2023,European Tour Card Holder Qualifier 10,Q,,
04/20/2023,European Tour Home Nation Qualifier 5,Q,,
04/22/2023,CDC Cross-border Challenge,-,Jeff Smith,85.25
04/22/2023,JDC Advanced Tour 5,-,Luke Littler,87.23
04/22/2023,JDC Advanced Tour 6,-,Luke Littler,92.35
04/22/2023,MODUS Super Series #3 Week 11,-,Mike Gillet,83.88
04/23/2023,EADC Pro Tour 2,-,Roman Obukhov,78.15
04/23/2023,European Tour 5,ET,Jonny Clayton,97.45
04/23/2023,JDC Advanced Tour 7,-,Lewis Bell,89
04/23/2023,JDC Advanced Tour 8,-,Luke Littler,88.19
04/27/2023,European Tour Home Nation Qualifier 6,Q,,
04/28/2023,Asian Tour 10,-,Christian Perez,92.26
04/28/2023,Development Tour 6,-,Wessel Nijman,96.62
04/28/2023,Development Tour 7,-,Sebastian Bialecki,87.97
04/28/2023,DPA Pro Tour 9,-,Mal Cuming,86.99
04/29/2023,Asian Tour 11,-,Lourence Ilagan,88.63
04/29/2023,Development Tour 8,-,Gian van Veen,98.03
04/29/2023,Development Tour 9,-,Ciarán Teehan,85.02
04/29/2023,DPA Pro Tour 10,-,Darren Penhall,91.98
04/29/2023,DPA Pro Tour 11,-,Darren Penhall,89.03
04/29/2023,DPNZ Pro Tour 5,-,Ben Robb,87.47
04/29/2023,JDC Foundation Tour 9,-,Nico Bado,70.35
04/29/2023,JDC Foundation Tour 10,-,Jack Nankervis,75.85
04/29/2023,MODUS Super Series #3 Week 12,-,Darryl Pilgrim,91.24
04/30/2023,Asian Tour 12,-,Paolo Nebrida,85.85
04/30/2023,Denmark Masters Mens,-,Andy Baetens,98.11
04/30/2023,Denmark Masters Womens,-,Noa-Lynn van Leuven,74.03
04/30/2023,Denmark Open Mens,-,Andy Baetens,92.69
04/30/2023,Denmark Open Womens,-,Rhian O Sullivan,76.99
04/30/2023,Development Tour 10,-,Gian van Veen,95.03
04/30/2023,DPA Pro Tour 12,-,Mal Cuming,86.54
04/30/2023,DPA Pro Tour 13,-,Darren Penhall,91.9
04/30/2023,DPNZ Pro Tour 6,-,Ben Robb,85.87
04/30/2023,European Tour 6,ET,Dave Chisnall,97.62
04/30/2023,JDC Foundation Tour 11,-,Jack Nankervis,77.96
04/30/2023,JDC Foundation Tour 12,-,Jack Nankervis,78.53
05/04/2023,European Tour Home Nation Qualifier 7,Q,,
05/05/2023,Challenge Tour 10,-,Berry van Peer,91.47
05/05/2023,Challenge Tour 11,-,Wayne Jones,89.46
05/06/2023,Challenge Tour 12,-,Berry van Peer,92.19
05/06/2023,Challenge Tour 13,-,Berry van Peer,88.25
05/06/2023,JDC Foundation Tour 13,-,Seppe Dasseville,66.77
05/06/2023,JDC Foundation Tour 14,-,Mason Teese,75.31
05/06/2023,MODUS Super Series #3 Week 13,-,Luke Littler,97.4
05/07/2023,Challenge Tour 14,-,Conan Whitehead,91.99
05/07/2023,European Tour 7,ET,Michael van Gerwen,100.1
05/07/2023,JDC Foundation Tour 15,-,Mason Teese,70.07
05/07/2023,JDC Foundation Tour 16,-,Bradley van der Velden,71.08
05/07/2023,Welsh Classic Men,-,Connor Levett,82.2
05/07/2023,Welsh Classic Women,-,Beau Greaves,85.55
05/07/2023,Welsh Classic Youth,-,Thomas Banks,83.19
05/07/2023,Welsh Open Boys,-,Thomas Banks,85.18
05/07/2023,Welsh Open Girls,-,Paige Pauling,64.26
05/07/2023,Welsh Open Men,-,Martyn Turner,85.32
05/07/2023,Welsh Open Women,-,Beau Greaves,85.69
05/11/2023,European Tour Home Nation Qualifier 8,Q,,
05/13/2023,DPNZ Pro Tour 7,-,Kayden Milne,81.34
05/13/2023,MODUS Super Series #4 Week 1,-,Daniel Lauby Jr.,85.28
05/13/2023,Women's Series 5,-,Beau Greaves,91.93
05/13/2023,Women's Series 6,-,Rhian O Sullivan,78.78
05/14/2023,Cyprus Classic Mens,-,Thomas Junghans,82.86
05/14/2023,Cyprus Classic Womens,-,Christiane Muzik,46.72
05/14/2023,Cyprus Masters Mens,-,Thomas Junghans,83.31
05/14/2023,Cyprus Masters Womens,-,Christiane Muzik,52.2
05/14/2023,DPNZ Pro Tour 8,-,Ben Robb,81.09
05/14/2023,European Tour 8,ET,Peter Wright,97.62
05/14/2023,Women's Series 7,-,Robyn Byrne,73.89
05/14/2023,Women's Series 8,-,Mikuru Suzuki,85.71
05/18/2023,SDC Pro Tour Finals,-,Stefan Bellmont,84.91
05/19/2023,CDC Pro Tour 1,-,Jake Womack,85.36
05/19/2023,European Tour Associate Member Qualifier 9,Q,,
05/19/2023,European Tour Home Nation Qualifier 9,Q,,
05/20/2023,CDC Pro Tour 2,-,Alex Spellman,91.82
05/20/2023,European Tour Associate Member Qualifier 10,Q,,
05/20/2023,European Tour Associate Member Qualifier 11,Q,,
05/20/2023,European Tour Home Nation Qualifier 10,Q,,
05/20/2023,European Tour Home Nation Qualifier 11,Q,,
05/20/2023,MODUS Super Series #4 Week 2,-,Chas Barstow,89.12
05/20/2023,Players Championship 11,PC,Rob Cross,99.54
05/20/2023,World Series Qualifier 3,Q,Jason Brandon,84.43
05/20/2023,World Series Qualifier 3,Q,J.T. Davis,84.4
05/21/2023,CDC Pro Tour 3,-,Leonard Gates,91.16
05/21/2023,European Tour Associate Member Qualifier 12,Q,,
05/21/2023,European Tour Associate Member Qualifier 13,Q,,
05/21/2023,Players Championship 12,PC,Jonny Clayton,99.12
05/25/2023,Premier League,U,Michael van Gerwen,98.71
05/26/2023,Asian Tour 13,-,Zong Xiaochen,86.89
05/27/2023,Asian Tour 14,-,Nitin Kumar,84.77
05/27/2023,DPA Pro Tour 14,-,Darren Penhall,86.45
05/27/2023,DPA Pro Tour 15,-,Darren Penhall,90.56
05/27/2023,JDC Advanced Tour 9,-,Leighton Bennett,89.28
05/27/2023,JDC Advanced Tour 10,-,Luke Littler,88.53
05/27/2023,MODUS Super Series #4 Week 3,-,Neil Duff,86.41
05/28/2023,Asian Tour 15,-,Zong Xiaochen,82.06
05/28/2023,DPA Pro Tour 16,-,Bailey Marsh,85.27
05/28/2023,DPA Pro Tour 17,-,David Platt,80.88
05/28/2023,European Tour 9,ET,Rob Cross,96.07
05/28/2023,JDC Advanced Tour 11,-,Leighton Bennett,84.22
05/28/2023,JDC Advanced Tour 12,-,Luke Littler,96.06
06/02/2023,European Tour Nordic and Baltic Qualifier 10,Q,Marko Kantele,88.33
06/03/2023,European Tour Eastern Europe Qualifier 10,Q,Vitezslav Sedlak,92.29
06/03/2023,European Tour Eastern Europe Qualifier 11,Q,Patrick Kovacs,88.37
06/03/2023,European Tour Nordic and Baltic Qualifier 11,Q,Jeffrey de Graaf,86.07
06/03/2023,MODUS Super Series #4 Week 4,-,Colin Osborne,86.51
06/03/2023,Nordic Baltic Tour 7,-,Marko Kantele,85.63
06/03/2023,North American Darts Championship,-,Jeff Smith,89.98
06/03/2023,World Series of Darts 3,U,Michael van Gerwen,95.04
06/04/2023,European Tour Eastern Europe Qualifier 12,Q,Sebastian Bialecki,91.73
06/04/2023,European Tour Eastern Europe Qualifier 13,Q,Patrick Kovacs,86.94
06/04/2023,Helvetia Open Men,-,Liam Maendl-Lawrance,84.47
06/04/2023,Helvetia Open Women,-,Sophie McKinlay,65.81
06/04/2023,Helvetia Open Youth,-,Sophie McKinlay,68.21
06/04/2023,Nordic Baltic Tour 8,-,Jeffrey de Graaf,87.21
06/04/2023,Swiss Open Mens,-,Liam Maendl-Lawrance,83.46
06/04/2023,Swiss Open Womens,-,Rhian O Sullivan,70.11
06/04/2023,Swiss Open Youth,-,Adam Dee,73.69
06/09/2023,Development Tour 11,-,Bradley Brooks,93.12
06/09/2023,Development Tour 12,-,Wessel Nijman,91.92
06/10/2023,Development Tour 13,-,Gian van Veen,90.56
06/10/2023,Development Tour 14,-,Jarred Cole,83.87
06/10/2023,MODUS Super Series #4 Week 5,-,Steve West,91.28
06/10/2023,World Seniors Darts Tour 3,-,Jim Long,90.29
06/11/2023,Australian Masters Mens,-,Danny Porter,82.17
06/11/2023,Australian Masters Womens,-,Corrinne Hammond,65.92
06/11/2023,Australian Masters Youth,-,Jacob Turvey,54.45
06/11/2023,Development Tour 15,-,Adam Gawlas,86.56
06/11/2023,Oregon Open Men,-,Kevin Luke,76.13
06/11/2023,Oregon Open Women,-,Sally Kelly,51.87
06/11/2023,World Seniors Darts Tour 4,-,Robert Thornton,88.47
06/12/2023,Players Championship 13,PT,Michael Smith,93.79
06/13/2023,Players Championship 14,PT,Damon Heta,95.12
06/17/2023,MODUS Super Series #4 Week 6,-,Berry van Peer,88.97
06/18/2023,JDC Foundation Tour 17,-,Jack Nankervis,70.99
06/18/2023,JDC Foundation Tour 18,-,Lewis Mayes,69.97
06/18/2023,World Cup,U,,
06/19/2023,JDC Foundation Tour 19,-,Charlie Stocks,77.77
06/19/2023,JDC Foundation Tour 20,-,Jack Nankervis,76.79
06/24/2023,MODUS Super Series #4 Week 7,-,Andy Boulton,91.72
06/24/2023,Women's Series 9,-,Beau Greaves,87.42
06/24/2023,Women's Series 10,-,Fallon Sherrock,79.35
06/25/2023,Women's Series 11,-,Beau Greaves,85.36
06/25/2023,Women's Series 12,-,Beau Greaves,86.08
06/25/2023,World Seniors Masters,-,Leonard Gates,90.34
07/01/2023,Asian Tour 16,-,Mohd Nasir Bin Jantan,80.87
07/01/2023,MODUS Super Series #4 Week 8,-,Luke Littler,94.34
07/01/2023,World Series Qualifier 5,Q,Darren Herewini,84.5
07/01/2023,World Series Qualifier 6,Q,John Hurring,84.39
07/02/2023,Asian Tour 17,-,Tomoya Goto,85.74
07/02/2023,Asian Tour 18,-,Mohd Nasir Bin Jantan,84.26
07/02/2023,European Tour 10,ET,Luke Humphries,101.42
07/02/2023,World Series Qualifier 5,Q,Jonny Tata,84.7
07/05/2023,Europe Cup Boys,-,Yorick Hofkens,79.59
07/05/2023,Europe Cup Girls,-,Aurora Fochesato,65.18
07/08/2023,DPA Pro Tour 18,-,Darren Penhall,84.97
07/08/2023,DPA Pro Tour 19,-,Darren Penhall,88.87
07/08/2023,MODUS Super Series #4 Week 9,-,Jelle Klaasen,84.83
07/08/2023,World Series of Darts 4,U,Michael van Gerwen,106.45
07/09/2023,Charlotte Open Mens,-,Alex Spellman,81.85
07/09/2023,Charlotte Open Womens,-,Andrea Taylor,60.22
07/09/2023,DPA Pro Tour 20,-,Darren Penhall,82.45
07/09/2023,DPA Pro Tour 21,-,Jeremy Fagg,82.18
07/10/2023,Players Championship 15,PT,Luke Humphries,95.6
07/11/2023,Players Championship 16,PT,Damon Heta,97.33
07/14/2023,Development Tour 16,-,Luke Littler,99
07/14/2023,Development Tour 17,-,Gian van Veen,94.22
07/14/2023,European Tour Nordic and Baltic Qualifier 12,Q,Anton Ostlund,84.19
07/15/2023,CDC Pro Tour 4,-,Jules Van Dongen,94.47
07/15/2023,CDC Pro Tour 5,-,Alex Spellman,95.08
07/15/2023,Development Tour 18,-,Nathan Rafferty,88.81
07/15/2023,Development Tour 19,-,Wessel Nijman,92.52
07/15/2023,European Tour Nordic and Baltic Qualifier 13,Q,Jeffrey de Graaf,84.4
07/15/2023,MODUS Super Series #4 Week 10,-,René Eidams,83.06
07/15/2023,Nordic Baltic Tour 9,-,Jeffrey de Graaf,92.45
07/16/2023,CDC Pro Tour 6,-,Daniel Lauby Jr.,89.2
07/16/2023,Development Tour 20,-,Luke Littler,94.04
07/16/2023,Nordic Baltic Tour 10,-,Benjamin Drue Reus,86.12
07/21/2023,CDC Matchplay,-,Jules Van Dongen,90.67
07/22/2023,MODUS Super Series #4 Week 11,-,Patrick van den Boogaard,84.88
07/23/2023,PDC Womens World Matchplay,-,Beau Greaves,84.14
07/23/2023,World Matchplay,MJ,Nathan Aspinall,97.4
07/28/2023,World Seniors Darts Tour Pre-qualifier Event,-,Mark Dudbridge,89.81
07/29/2023,Asian Tour 19,-,Tatsunami Mitsuhiko,86.68
07/29/2023,MODUS Super Series #4 Week 12,-,Jeroen Mioch,88.32
07/29/2023,Women's Series 13,-,Beau Greaves,91.41
07/29/2023,Women's Series 14,-,Beau Greaves,84.83
07/29/2023,World Seniors Darts Tour Matchplay Qualifier 1,-,Jim McEwan,92.26
07/30/2023,Asian Tour 20,-,Hugo Leung Man Lok,87.27
07/30/2023,Asian Tour 21,-,Paul Lim,82.78
07/30/2023,Women's Series 15,-,Beau Greaves,93.91
07/30/2023,Women's Series 16,-,Beau Greaves,86.03
07/30/2023,World Seniors Darts Tour Matchplay Qualifier 2,-,Paul Hogan,87.16
08/05/2023,CDLC Pro Tour 1,-,Norman Madhoo,73.75
08/05/2023,European Tour Home Nation Qualifier 12,Q,,
08/05/2023,MODUS Super Series #4 Week 13,-,Luke Littler,93.71
08/05/2023,World Series of Darts 5,U,Rob Cross,94.1
08/06/2023,CDLC Pro Tour 2,-,Sudesh Fitzgerald,72.81
08/11/2023,Challenge Tour 15,-,Wesley Plaisier,92.94
08/11/2023,Challenge Tour 16,-,Darryl Pilgrim,94.79
08/12/2023,African Continental Tour 1,-,Stefan Vermaak,71.29
08/12/2023,Challenge Tour 17,-,Robert Grundy,89.07
08/12/2023,Challenge Tour 18,-,Cameron Crabtree,85.49
08/12/2023,MODUS Super Series #5 Week 1,-,Matt Clark,86.63
08/12/2023,Pacific Masters Mens,-,Raymond Smith,86.64
08/12/2023,Pacific Masters Womens,-,Lisa Ashton,75.51
08/12/2023,World Series of Darts 6,U,Rob Cross,97.5
08/13/2023,Challenge Tour 19,-,Owen Bates,94.81
08/18/2023,Development Tour 21,-,Rusty-Jake Rodriguez,85.79
08/18/2023,Development Tour 22,-,Sebastian Bialecki,90.91
08/19/2023,Australian Open Mens,-,Andy Baetens,93.53
08/19/2023,Australian Open Womens,-,Lisa Ashton,86.79
08/19/2023,CDC Pro Tour 7,-,Stowe Buntz,84.04
08/19/2023,CDC Pro Tour 8,-,Stowe Buntz,87.93
08/19/2023,Development Tour 23,-,Gian van Veen,92.26
08/19/2023,Development Tour 24,-,Luke Littler,92.14
08/19/2023,MODUS Super Series #5 Week 2,-,Darryl Pilgrim,96.1
08/20/2023,CDC Pro Tour 9,-,Stowe Buntz,87.44
08/20/2023,Swedish Masters Mens,-,Berry van Peer,91.55
08/20/2023,Swedish Masters Womens,-,Beau Greaves,81.16
08/20/2023,Swedish Open Mens,-,Thomas Junghans,76.21
08/20/2023,Swedish Open Womens,-,Beau Greaves,86.27
08/26/2023,MODUS Super Series #5 Week 3,-,Mareno Michels,87.16
08/26/2023,Players Championship 17,PT,Gerwyn Price,97.53
08/27/2023,Chinese Premier League,-,Zong Xiaochen,86.15
08/27/2023,Players Championship 18,PT,Gerwyn Price,94.45
08/28/2023,European Tour Card Holder Qualifier 11,Q,,
08/28/2023,European Tour Card Holder Qualifier 12,Q,,
09/02/2023,DPNZ Pro Tour 9,-,Ben Robb,88.93
09/02/2023,MODUS Super Series #5 Week 4,-,Conan Whitehead,89.72
09/03/2023,DPNZ Pro Tour 10,-,Darren Dummigan,84.09
09/03/2023,Players Championship 19,PT,Callan Rydz,93.37
09/03/2023,World Seniors Matchplay,-,Leonard Gates,93.77
09/04/2023,Players Championship 20,PT,Luke Humphries,99.71
09/05/2023,Players Championship 21,PT,Gerwyn Price,98.55
09/06/2023,European Tour Card Holder Qualifier 13,Q,,
09/06/2023,World Series Finals Tour Card Qualifier,Q,,
09/08/2023,Asian Tour 22,-,Lok Yin Lee,79.88
09/08/2023,CDC Pro Tour 10,-,Alex Spellman,92.7
09/09/2023,Asian Tour 23,-,Reynaldo Rivera,92.54
09/09/2023,Asian Tour 24,-,Tomoya Goto,93.81
09/09/2023,CDC Pro Tour 11,-,Dave Cameron,89.58
09/09/2023,MODUS Super Series #5 Week 5,-,Anton Ostlund,85.85
09/10/2023,CDC Pro Tour 12,-,Leonard Gates,92.14
09/10/2023,European Tour 11,ET,Krzysztof Ratajski,94.22
09/10/2023,Finnish Masters Mens,-,Viktor Tingstrom,83.4
09/10/2023,Finnish Masters Womens,-,Kirsi Viinikainen,70.23
09/10/2023,Finnish Open Mens,-,Johan Engstrom,90.21
09/10/2023,Finnish Open Womens,-,Kirsi Viinikainen,70.34
09/16/2023,DPA Pro Tour 22,-,Darren Penhall,90.87
09/16/2023,DPA Pro Tour 23,-,Jeremy Fagg,96.46
09/16/2023,MODUS Super Series #5 Week 6,-,Robert Grundy,88.79
09/16/2023,Women's Series 17,-,Mikuru Suzuki,76.54
09/16/2023,Women's Series 18,-,Lisa Ashton,83.98
09/17/2023,British Classic Men,-,Luke Littler,95.04
09/17/2023,British Classic Women,-,Deta Hedman,71.68
09/17/2023,British Open Men,-,Luke Littler,90.91
09/17/2023,British Open Women,-,Eve Watson,73.96
09/17/2023,DPA Pro Tour 24,-,Darren Penhall,86.17
09/17/2023,DPA Pro Tour 25,-,Jeremy Fagg,93.19
09/17/2023,Witch City Open Mens,-,Leonard Gates,88.31
09/17/2023,Witch City Open Womens,-,Cali West,64.37
09/17/2023,Women's Series 19,-,Beau Greaves,85.25
09/17/2023,Women's Series 20,-,Fallon Sherrock,80.84
09/17/2023,World Series of Darts Finals,U,Michael van Gerwen,99.17
09/23/2023,JDC Super 16 1,-,Luke Littler,86.11
09/23/2023,JDC Super 16 2,-,Thomas Banks,81.1
09/23/2023,MODUS Super Series #5 Week 7,-,Andreas Harrysson,90.65
09/24/2023,African Continental Tour 2,-,Cameron Carolissen,80.16
09/24/2023,European Tour 12,ET,Dave Chisnall,99.66
09/24/2023,JDC Super 16 3,-,Luke Littler,87.36
09/24/2023,JDC Super 16 4,-,Luke Littler,83.72
09/24/2023,World Championship - African Qualifier,-,Simon Adams,75.37
09/27/2023,Players Championship 22,PT,Danny Noppert,98.09
09/28/2023,Players Championship 23,PT,Dave Chisnall,100.07
09/29/2023,Players Championship 24,PT,Gary Anderson,100.9
09/30/2023,MODUS Super Series #5 Week 8,-,Chris Quantock,86.87
09/30/2023,WDF World Cup Mens,-,Berry van Peer,90.83
09/30/2023,WDF World Cup Womens,-,Beau Greaves,86.73
10/06/2023,DPNZ Pro Tour 11,-,Haupai Puha,96.35
10/07/2023,Asian Championship,-,Haruki Muramatsu,88.85
10/07/2023,DPNZ Pro Tour 12,-,Warren Parry,80.38
10/07/2023,MODUS Super Series #5 Week 9,-,Sebastian Bialecki,87.95
10/07/2023,World Seniors Darts Tour 5,-,Kevin Edwards,87.42
10/08/2023,PDC World Championship - New Zealand Qualifier,-,Ben Robb,91.3
10/08/2023,World Grand Prix,MJ,Luke Humphries,89.47
10/08/2023,World Seniors Darts Tour 6,-,Jim Long,87.75
10/10/2023,German Super League Qualifier 1,-,Dominik Gruellich,88.64
10/10/2023,German Super League Qualifier 2,-,Michael Klonhammer,83.88
10/11/2023,German Super League Qualifier 3,-,Paul Krohne,79.95
10/11/2023,German Super League Qualifier 4,-,Markus Kessler,79.37
10/12/2023,European Tour Home Nation Qualifier 13,Q,,
10/13/2023,CDLC Pro Tour 3,-,Norman Madhoo,75.34
10/13/2023,CDLC Pro Tour 4,-,Artur Valle,73.54
10/14/2023,JDC Super 16 5,-,Thomas Banks,78.85
10/14/2023,JDC Super 16 6,-,Jenson Walker,82.35
10/14/2023,MODUS Super Series #5 Week 10,-,Jim McEwan,86.32
10/14/2023,Women's Series 21,-,Fallon Sherrock,84.65
10/14/2023,Women's Series 22,-,Fallon Sherrock,80.66
10/15/2023,European Tour 13,ET,Ricardo Pietreczko,97.66
10/15/2023,JDC Super 16 7,-,Jenson Walker,75.44
10/15/2023,JDC Super 16 8,-,Jack Nankervis,80.99
10/15/2023,Women's Series 23,-,Fallon Sherrock,86.98
10/15/2023,Women's Series 24,-,Natalie Gilbert,74.86
10/18/2023,Players Championship 25,PT,Gary Anderson,101.45
10/19/2023,Players Championship 26,PT,Ryan Joyce,99.18
10/20/2023,Players Championship 27,PT,Radoslaw Szaganski,95.96
10/21/2023,CDC Continental Cup,-,Stowe Buntz,86.16
10/21/2023,MODUS Super Series #5 Week 11,-,Matthew Dennant,91.83
10/21/2023,Players Championship 28,PT,Ross Smith,100.33
10/22/2023,Latvia Open Mens,-,Francois Schweyen,83.68
10/22/2023,Latvia Open Womens,-,Maud Jansson,59.17
10/22/2023,Riga Open Mens,-,Thomas Junghans,84.19
10/22/2023,Riga Open Womens,-,Irina Armstrong,63.9
10/28/2023,African Continental Tour 3,-,Cameron Carollisen,80.32
10/28/2023,Challenge Tour 20,-,John Henderson,91.65
10/28/2023,Challenge Tour 21,-,Dom Taylor,86.77
10/28/2023,MODUS Super Series #5 Week 12,-,Steve West,88.65
10/29/2023,Challenge Tour 22,-,Vitezslav Sedlak,85.26
10/29/2023,Challenge Tour 23,-,Andy Boulton,89.37
10/29/2023,European Championship,MJ,Peter Wright,98.06
10/29/2023,PDC World Championship - Indian Qualifier,Q,Prakash Jiwa,83.76
10/30/2023,Challenge Tour 24,-,James Hurrell,93.54
10/30/2023,Chinese Series A League,-,Huang Xuejie,74.83
11/01/2023,Players Championship 29,PT,Gerwyn Price,98.57
11/02/2023,Players Championship 30,PT,Dave Chisnall,98.64
11/03/2023,Grand Slam Qualifier,Q,,
11/04/2023,MODUS Super Series #5 Week 13,-,Jim McEwan,92.35
11/05/2023,Malta Masters Mens,-,Jelle Klaasen,84.8
11/05/2023,Malta Masters Womens,-,Noa-Lynn van Leuven,80.25
11/05/2023,Malta Open Mens,-,Michael Busscher,79.01
11/05/2023,Malta Open Womens,-,Noa-Lynn van Leuven,76.84
11/10/2023,German Super League,-,Dragutin Horvat,87.19
11/11/2023,MODUS Super Series #6 Week 1,-,William Borland,86.34
11/11/2023,World Seniors Darts Tour 7,-,Andy Jenkins,87.99
11/11/2023,World Seniors Darts Tour 8,-,Richard Rowlands,84.53
11/12/2023,Irish Classic Mens,-,Leung Kai Fan,83.75
11/12/2023,Irish Classic Womens,-,Rhian O Sullivan,74.95
11/12/2023,Irish Open Mens,-,Shane McGuirk,86.01
11/12/2023,Irish Open Womens,-,Aileen de Graaf,76.04
11/12/2023,Killarney Open Mens,-,Shane McGuirk,94.22
11/12/2023,Killarney Open Womens,-,Katie Sheldon,71.12
11/12/2023,Seacoast Open Men,-,Alex Spellman,88.92
11/12/2023,Seacoast Open Women,-,Maria Carli,64.19
11/16/2023,African Continental Tour 4,-,Cameron Carolissen,80.22
11/18/2023,African Continental Tour Grand Final,-,Cameron Carolissen,81.29
11/18/2023,MODUS Super Series #6 Week 2,-,Andy Boulton,90.57
11/18/2023,World Championship - Western Europe Qualifier,Q,Thibault Tricole,87.55
11/18/2023,World Championship - Western Europe Qualifier,Q,,
11/19/2023,Grand Slam,MJ,Luke Humphries,101.76
11/25/2023,MODUS Super Series #6 Week 3,-,Chas Barstow,86.98
11/25/2023,World Championship - Eastern Europe Qualifier,Q,Krzysztof Kciuk,86.98
11/26/2023,Players Championship Finals,MJ,Luke Humphries,102.03
11/26/2023,World Youth Championship,-,Luke Littler,94.35
11/27/2023,World Championship Tour Card Holder Qualifier,Q,,
12/02/2023,MODUS Super Series #6 Week 4,-,Cameron Crabtree,86.09
12/09/2023,MODUS Super Series #6 Week 5,-,Steve West,91.9
12/10/2023,World Championship - Boys,-,Bradley van der Velden,71.9
12/10/2023,World Championship - Girls,-,Aurora Fochesato,59.43
12/10/2023,World Championship - Men,-,,
12/10/2023,World Championship - Women,-,Beau Greaves,
12/16/2023,MODUS Super Series #6 Week 6,-,Andreas Harrysson,92.89
01/03/2024,World Championship,WC,Luke Humphries,100.46
01/06/2024,MODUS Super Series #6 Week 7,-,Chris Landman,85.69
01/08/2024,"EU Q School - Stage 1, Group A 1",Q,,
01/08/2024,"UK Q School - Stage 1, Group A 1",Q,,
01/09/2024,"EU Q School - Stage 1, Group A 2",Q,,
01/09/2024,"UK Q School - Stage 1, Group A 2",Q,,
01/10/2024,"EU Q School - Stage 1, Group A 3",Q,,
01/10/2024,"UK Q School - Stage 1, Group A 3",Q,,
01/11/2024,EU Q School - Stage 2 1,Q,Martijn Dragt,85.55
01/11/2024,UK Q School - Stage 2 1,Q,Steve Lennon,95.08
01/12/2024,EU Q School - Stage 2 2,Q,Jelle Klaasen,90.77
01/12/2024,EU Q School - Stage 2 3,Q,,
01/12/2024,UK Q School - Stage 2 2,Q,Robert Grundy,94.03
01/13/2024,Asian Tour 1,-,Alexis Toylo,85.91
01/13/2024,Asian Tour 2,-,Alexis Toylo,85.58
01/13/2024,EU Q School - Stage 2 3,Q,Andy Baetens,96.03
01/13/2024,MODUS Super Series #6 Week 8,-,Neil Duff,87.77
01/13/2024,UK Q School - Stage 2 3,Q,Leighton Bennett,91.44
01/14/2024,Asian Tour 3,-,Paolo Nebrida,89.06
01/14/2024,EU Q School - Stage 2 4,Q,Jeffrey de Graaf,87.1
01/14/2024,UK Q School - Stage 2 4,Q,Dom Taylor,92.26
