Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
11.08.1984,2013,,Italien,Rechtshänder,Signature Darts,Michel Furlani,Furlani M.
13.05.1991,,,Südafrika,Rechtshänder,22g Target,Carl Gabriel,Gabriel C.
12.07.1996,2012,,Irland,Rechtshänder,21g,Liam Gallagher,Gallagher L.
23.04.2002,,,Gibraltar,Rechtshänder,Shot 23g,Craig Galliano,Galliano C.
12.08.1982,2008,,England,Rechtshänder,25g,Kevin Garcia,Garcia K.
,2013,,Neuseeland,Rechtshänder,,Landon Gardiner,Gardiner L.
26.11.1970,2007,,USA,Rechtshänder,Winmau 20g,Leonard Gates,Gates L.
06.05.1967,,,Thailand,Rechtshänder,,Thanawat Gaweenuntawong,Gaweenuntawong T.
18.02.2002,2019,2022,Tschechien,Rechtshänder,,Adam Gawlas,Gawlas A.
08.10.1978,,2024,Niederlande,Rechtshänder,,Patrick Geeraets,Geeraets P.
02.12.1978,1996,,Niederlande,Rechtshänder,23g Grand Slam Triple B,Jeroen Geerdink,Geerdink J.
20.01.2000,2009,,Südafrika,Rechtshänder,,Johan Geldenhuys,Geldenhuys J.
16.12.1945,,,England,Rechtshänder,Winmau 23g Bobby George,Bobby George,George B.
18.12.1989,,,England,Rechtshänder,23g Signature RedDragon,Richie George,George R.
22.12.1998,,,Deutschland,Rechtshänder,DiD Marcel Gerdon V1 Steeldarts,Marcel Gerdon,Gerdon M.
25.04.1989,2002,2005,Niederlande,Rechtshänder,,Michael van Gerwen,van Gerwen M.
25.12.1997,,,Niederlande,Rechtshänder,,Sybren Gijbels,Gijbels S.
07.12.1970,2010,2012,England,Rechtshänder,Cosmo Darts 25g,Andrew Gilding,Gilding A.
08.12.1983,2004,,Wales,Linkshänder,Quantum Signature 24g,Mike Gillet,Gillet M.
01.04.1983,2016,,Nordirland,Rechtshänder,,Chris Gilliland,Gilliland C.
11.10.1995,2011,,Indien,Rechtshänder,24g Unicorn,Amit Gilitwala,Gilitwala A.
06.11.2002,2010,,Schottland,Rechtshänder,Target 22g,Nathan Girvan,Girvan N.
,,,England,,,Alan Glazier,Glazier A.
17.03.1980,,,Österreich,Rechtshänder,,Christian Gödl,Gödl C.
22.03.1996,,,Wales,Linkshänder,,Callum Goffin,Goffin C.
19.01.1985,2012,2018,Schottland,Rechtshänder,,John Goldie,Goldie J.
,2013,,Portugal,Rechtshänder,,David Gomes,Gomes D.
16.09.1977,2015,,Russland,Rechtshänder,19g Harrows Assassin,Dmitriy Gorbunov ,Gorbunov D.
23.03.1995,,,Österreich,Rechtshänder,,Patrik Gosnak,Gosnak P.
07.09.1996,2014,2017,Japan,Rechtshänder,,Tomoya Goto,Goto T.
