Geburtstag,Plays since,Profi since,Nationality,Handedness,Darts gramm,Name,Name S.
24.07.1983,2007,,Japan,Rechtshänder,Trinidad 21g,Yuki Yamada,Yamada Y.
12.11.1977,2009,,Japan,Rechtshänder,Dynasty 18g,Nobuhiro Yamamoto,Yamamoto N.
02.02.1973,1992,,USA,,,Darin Young,Young D.
,,,Bahrain,Rechtshänder,,Abdulnasser Yusuf,Yusuf A.
,2017,,China,Rechtshänder,,Qingyu Zhan,Zhan Q.
,,,China,Rechtshänder,,Zizhao Zheng,Zheng Z.
28.10.1981,2016,,China,Rechtshänder,One80 20g,Di Zhuang,Zhuang D.
14.11.1977,,,Deutschland,Rechtshänder,Jens Ziegler Basic 22g,Jens Ziegler,Ziegler J.
08.03.1998,,,China,Rechtshänder,21g,Xiao Chen Zong,Chen Zong X.
22.07.1998,,2019,Niederlande,Linkshänder,Shot Darts,Niels Zonneveld,Zonneveld N.
,2005,,Lettland,Rechtshänder,,Dmitrijs Zukovs,Zukovs D.
26.03.1996,2011,2015,Niederlande,Rechtshänder,Jeffrey de Zwaan Signature Darts 23g,Jeffrey de Zwaan,de Zwaan J.
24.04.1990,1996,,Deutscher,Rechtshänder,24g One80 Daniel Zygla Signature,Daniel Zygla,Zygla D.
